Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
C178DEB4,C178DEB4,Thu Mar 02 2023 12:14:30 GMT-0700 (Mountain Standard Time),Not set,900,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Dec 30 2022 00:29:30 GMT-0700 (Mountain Standard Time),-9.7,50.3,-18.2
1,Fri Dec 30 2022 00:44:30 GMT-0700 (Mountain Standard Time),-10.3,51.2,-18.5
2,Fri Dec 30 2022 00:59:30 GMT-0700 (Mountain Standard Time),-10.0,50.2,-18.5
3,Fri Dec 30 2022 01:14:30 GMT-0700 (Mountain Standard Time),-8.4,44.4,-18.4
4,Fri Dec 30 2022 01:29:30 GMT-0700 (Mountain Standard Time),-8.8,43.8,-19.0
5,Fri Dec 30 2022 01:44:30 GMT-0700 (Mountain Standard Time),-7.5,38.5,-19.3
6,Fri Dec 30 2022 01:59:30 GMT-0700 (Mountain Standard Time),-8.1,38.0,-20.0
7,Fri Dec 30 2022 02:14:30 GMT-0700 (Mountain Standard Time),-6.3,33.4,-19.9
8,Fri Dec 30 2022 02:29:30 GMT-0700 (Mountain Standard Time),-7.1,34.6,-20.2
9,Fri Dec 30 2022 02:44:30 GMT-0700 (Mountain Standard Time),-6.7,35.6,-19.5
10,Fri Dec 30 2022 02:59:30 GMT-0700 (Mountain Standard Time),-7.0,37.5,-19.2
11,Fri Dec 30 2022 03:14:30 GMT-0700 (Mountain Standard Time),-8.8,40.6,-19.9
12,Fri Dec 30 2022 03:29:30 GMT-0700 (Mountain Standard Time),-8.9,42.9,-19.3
13,Fri Dec 30 2022 03:44:30 GMT-0700 (Mountain Standard Time),-8.0,43.0,-18.4
14,Fri Dec 30 2022 03:59:30 GMT-0700 (Mountain Standard Time),-7.7,44.5,-17.8
15,Fri Dec 30 2022 04:14:30 GMT-0700 (Mountain Standard Time),-7.0,42.6,-17.6
16,Fri Dec 30 2022 04:29:30 GMT-0700 (Mountain Standard Time),-7.2,42.5,-17.9
17,Fri Dec 30 2022 04:44:30 GMT-0700 (Mountain Standard Time),-8.0,45.2,-17.9
18,Fri Dec 30 2022 04:59:30 GMT-0700 (Mountain Standard Time),-8.1,47.2,-17.4
19,Fri Dec 30 2022 05:14:30 GMT-0700 (Mountain Standard Time),-8.1,49.1,-17.0
20,Fri Dec 30 2022 05:29:30 GMT-0700 (Mountain Standard Time),-8.9,50.4,-17.4
21,Fri Dec 30 2022 05:44:30 GMT-0700 (Mountain Standard Time),-7.9,50.6,-16.4
22,Fri Dec 30 2022 05:59:30 GMT-0700 (Mountain Standard Time),-8.2,51.6,-16.5
23,Fri Dec 30 2022 06:14:30 GMT-0700 (Mountain Standard Time),-8.4,52.1,-16.5
