DateTime,Temperature,Humidity,Dew Point
7/6/2024 13:43,69.3,62.6,56.1
7/6/2024 14:43,65.8,62.4,52.7
7/6/2024 15:43,61.5,73.8,53.1
7/6/2024 16:43,61,76.6,53.6
7/6/2024 17:43,61.2,74.1,52.9
7/6/2024 18:43,59.9,73.7,51.6
7/6/2024 19:43,58.3,79.8,52.2
7/6/2024 20:43,58.3,77.8,51.4
7/6/2024 21:43,58.1,77.9,51.3
7/6/2024 22:43,59.7,74.1,51.4
7/6/2024 23:43,61,70.3,51.3
7/7/2024 0:43,63.3,65.5,51.6
7/7/2024 1:43,64.9,61.4,51.4
7/7/2024 2:43,67.1,58.1,52
7/7/2024 3:43,69.3,55.1,52.5
7/7/2024 4:43,68.2,54.3,51.3
7/7/2024 5:43,67.8,54,50.7
7/7/2024 6:43,68.4,55,51.6
7/7/2024 7:43,66.2,61.7,52.7
7/7/2024 8:43,55.4,88.3,52
7/7/2024 9:43,60.4,81.8,54.9
7/7/2024 10:43,66.2,51.7,48
7/7/2024 11:43,66.4,47.5,46
7/7/2024 12:43,63.9,51.3,45.7
7/7/2024 13:43,65.5,48.2,45.5
7/7/2024 14:43,62.4,51.9,44.6
7/7/2024 15:43,57.6,59.6,43.7
7/7/2024 16:43,59.7,59.3,45.7
7/7/2024 17:43,56.8,73.8,48.6
7/7/2024 18:43,56.5,70.9,47.3
7/7/2024 19:43,55.4,74.1,47.3
7/7/2024 20:43,53.4,72.6,45
7/7/2024 21:43,53.4,61.1,40.5
7/7/2024 22:43,53.6,60.5,40.3
7/7/2024 23:43,51.8,65.6,40.6
7/8/2024 0:43,49.5,68.4,39.6
7/8/2024 1:43,47.3,78.2,40.8
7/8/2024 2:43,53.1,60.8,39.9
7/8/2024 3:43,59.5,51.7,41.9
7/8/2024 4:43,60.6,46.9,40.3
7/8/2024 5:43,64,42.3,40.8
7/8/2024 6:43,65.3,37.5,38.8
7/8/2024 7:43,65.3,36.1,37.9
7/8/2024 8:43,68.2,32.2,37.6
7/8/2024 9:43,68,33.5,38.3
7/8/2024 10:43,68.2,30.7,36.3
7/8/2024 11:43,70.2,28.8,36.5
7/8/2024 12:43,68.9,25.7,32.5
7/8/2024 13:43,69.1,25,32
7/8/2024 14:43,62.6,30.7,31.5
7/8/2024 15:43,59.7,35.3,32.4
7/8/2024 16:43,59,37,32.9
7/8/2024 17:43,59.2,36.6,32.7
7/8/2024 18:43,51.8,44.3,30.7
7/8/2024 19:43,49.3,51.3,32.2
7/8/2024 20:43,47.8,53.7,31.8
7/8/2024 21:43,47.8,51.4,30.7
7/8/2024 22:43,47.5,52.9,31.3
7/8/2024 23:43,45.7,58.5,32
7/9/2024 0:43,50,57.8,35.8
7/9/2024 1:43,59.4,45.8,38.7
7/9/2024 2:43,67.6,33.1,37.8
7/9/2024 3:43,68.7,32,37.9
7/9/2024 4:43,69.6,23,30.4
7/9/2024 5:43,70.5,23.5,31.6
7/9/2024 6:43,71.2,25.3,34.2
7/9/2024 7:43,73.8,18.1,28
7/9/2024 8:43,74.3,17,27
7/9/2024 9:43,74.8,21.2,32.7
7/9/2024 10:43,74.1,20,30.7
7/9/2024 11:43,73.9,20,30.6
7/9/2024 12:43,73.4,18.7,28.4
7/9/2024 13:43,72.7,19.7,29.1
7/9/2024 14:43,67.8,22.3,28
7/9/2024 15:43,65.3,27.7,31.3
7/9/2024 16:43,58.5,49.1,39.6
7/9/2024 17:43,52,66,41
7/9/2024 18:43,49.6,70.9,40.6
7/9/2024 19:43,46.9,73.6,39
7/9/2024 20:43,45,77.2,38.3
7/9/2024 21:43,44.1,81.9,38.8
7/9/2024 22:43,41,84.9,36.9
7/9/2024 23:43,40.3,87.5,36.9
7/10/2024 0:43,46.6,77.8,40.1
7/10/2024 1:43,52,66.4,41.2
7/10/2024 2:43,58.8,54.2,42.4
7/10/2024 3:43,64,46.9,43.5
7/10/2024 4:43,65.1,25.5,29.1
7/10/2024 5:43,66.2,25.2,29.7
7/10/2024 6:43,67.6,23.8,29.5
7/10/2024 7:43,69.4,23.8,31.1
7/10/2024 8:43,72.7,24.8,34.9
7/10/2024 9:43,68,27.1,33.1
7/10/2024 10:43,67.3,28.2,33.4
7/10/2024 11:43,67.8,28.4,34
7/10/2024 12:43,71.1,22.5,31.1
7/10/2024 13:43,65.8,39.5,40.6
7/10/2024 14:43,58.8,47.2,38.8
7/10/2024 15:43,53.8,54.3,37.8
7/10/2024 16:43,51.6,58.7,37.8
7/10/2024 17:43,49.5,61.7,36.9
7/10/2024 18:43,50,61.3,37.2
7/10/2024 19:43,46.8,64.2,35.4
7/10/2024 20:43,43.5,70.1,34.5
7/10/2024 21:43,41.5,75,34.2
7/10/2024 22:43,39,79.5,33.3
7/10/2024 23:43,37.8,82.4,32.9
7/11/2024 0:43,43.3,76.5,36.5
7/11/2024 1:43,51.3,65.4,40.1
7/11/2024 2:43,55.9,55.5,40.3
7/11/2024 3:43,59.4,49.5,40.6
7/11/2024 4:43,60.1,44.7,38.7
7/11/2024 5:43,63,26.8,28.4
7/11/2024 6:43,65.3,26.3,30
7/11/2024 7:43,68,21.6,27.5
7/11/2024 8:43,70.2,20.9,28.4
